codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
101;10065;ERCOLANA;VIA EMILIA PONENTE 2765;CASTEL SAN PIETRO TERME;703646;921260;44,414229;11,556833;513
101;10085;RIO ROSSO;VIA EMILIA LEVANTE FR 2273;CASTEL SAN PIETRO TERME;708888;918652;44,389282;11,621559;513
101;10088;TOSCANELLA PIAZZA DELLA L;PIAZZA DELLA LOGGIA;TOSCANELLA;710030;917703;44,380418;11,635499;514
101;10094;SABBIOSO;VIA EMILIA 19;TOSCANELLA;710482;917869;44,38178;11,641234;514
101;10101;DOZZA BIVIO;VIA EMILIA 195;DOZZA;711794;917216;44,375525;11,657421;514
101;11810;SCANIA ALBERTAZZI;VIA SCANIA 175;CASTEL SAN PIETRO TERME;706022;919608;44,3987;11,585991;513
101;11813;SCANIA TORRICELLI;VIA SCANIA FR 571;CASTEL SAN PIETRO TERME;705697;919769;44,40024;11,581978;513
101;11833;SCANIA TOGLIATTI;VIA SCANIA 61;CASTEL SAN PIETRO TERME;705305;919933;44,401826;11,577125;513
101;110102;PIRATELLO;VIA EMILIA 25;PIRATELLO;712852;916702;44,370593;11,670476;510
101;110105;FORNACE;VIALE AMENDOLA 68;IMOLA;714533;915843;44,362373;11,691198;510
101;114106;IMOLA PALESTRA;VIALE CARDUCCI 19;IMOLA;716310;915310;44,357052;11,713252;510
101;130103;IMOLA SILVIO ALVISI;VIALE D`AGOSTINO 91;IMOLA;715471;914900;44,353615;11,702566;510
101;131141;PARCO TITO;VIA VILLA CLELIA FR 17;IMOLA;715438;914986;44,354398;11,702188;510
101;132105;BIANCONCINI;V.LE SAFFI FR 43;IMOLA;716013;914808;44,352626;11,709321;510
101;150105;IMOLA IST. ALBERGHETTI;V.LE DANTE 1;IMOLA;716295;914612;44,35078;11,712774;510
103;11506;CASTEL S.PIETRO T. FRATI;VIA VIARA CABINA ENEL;CASTEL SAN PIETRO TERME;706169;919276;44,395672;11,587704;513
103;11509;DUE FORNI;VIA VIARA 1630;CASTEL SAN PIETRO TERME;705637;917724;44,381865;11,580417;513
1;114101;IMOLA CENTRO COMMERCIALE;VIALE CARDUCCI 38;IMOLA;715878;915354;44,357577;11,707855;510
1;120103;IMOLA STAZIONE;P.LE MARABINI 4;IMOLA;716721;915552;44,359106;11,718504;510
1;122104;IMOLA MARCONI;V.LE MARCONI 73;IMOLA;715915;915812;44,361684;11,708509;510
1;124511;IMOLA PAMBERA;VIA PAMBERA 107;IMOLA;715507;916170;44,365025;11,703543;510
1;124514;IMOLA PONTESANTO;VIA BECCARIA 4;IMOLA;715157;916363;44,366865;11,699235;510
1;124517;IMOLA TINTI SCUOLE;VIA TINTI FR SCUOLE;IMOLA;714687;916263;44,366105;11,693301;510
1;124527;ZOLINO;VIA GUALANDI 10;IMOLA;714339;916157;44,365254;11,688895;510
1;124530;ZOLINO GUALANDI;VIA FRATELLI GUALANDI PL 5255;IMOLA;714446;916297;44,366482;11,690294;510
1;132102;IMOLA SAFFI CUP;V.LE SAFFI FR 26/D;IMOLA;715818;914881;44,353341;11,706907;510
1;132105;BIANCONCINI;V.LE SAFFI FR 43;IMOLA;716013;914808;44,352626;11,709321;510
1;133101;IMOLA BELVEDERE;VIA BELVEDERE FR 2;IMOLA;714559;915690;44,360989;11,691461;510
1;150109;IMOLA GRATTACIELO;V.LE DANTE 7/ABC;IMOLA;716302;914383;44,348718;11,712767;510
1;150112;IMOLA GRATTACIELO;VIALE DANTE 14;IMOLA;716317;914393;44,348804;11,712959;510
1;151111;COLOMBARINA;VIA MANZONI 6;IMOLA;716786;914436;44,349051;11,718854;510
1;151114;IMOLA LEOPARDI;VIA LEOPARDI 3;IMOLA;717090;914504;44,349571;11,722693;510
1;151134;IMOLA ANDREA COSTA;VIA A.COSTA 18;IMOLA;716559;915230;44,356259;11,71634;510
1;600016;SAN ROCCO MEDAGLIE D`ORO;RPA DI SAN ROCCO F 15;FERRARA;708280;967946;44,832762;11,633907;600
1;600019;SAN ROCCO FOSSATO DI MORT;RAMPARI SAN ROCCO 27;FERRARA;708332;968244;44,835427;11,634686;600
1;600164;CAVOUR GIARDINI;VIA CAVOUR 22;FERRARA;707033;968580;44,838826;11,618406;600
1;600193;PIAZZALE MEDAGLIE D`ORO;PLE DELLE MEDAGLIE D`ORO 205;FERRARA;708181;967868;44,83209;11,632624;600
1;600202;GIOVECCA TEATINI;CSO DELLA GIOVECCA 50;FERRARA;707288;968424;44,83735;11,621565;600
1;600209;GIOVECCA TEATINI;CSO DELLA GIOVECCA 47;FERRARA;707318;968417;44,837278;11,621942;600
1;600238;FRUTTETI CALDIROLO;VIA DEI FRUTTETI F 3;FERRARA;708477;968413;44,836904;11,636588;600
1;600244;CALDIROLO;VIA CALDIROLO 91;FERRARA;708411;968727;44,839747;11,635883;600
1;600254;COPPARO TUROLDO;COPPARO 64;FERRARA;708821;969344;44,845176;11,641319;600
1;600257;COPPARO MORARI;COPPARO 105;FERRARA;709075;969399;44,845596;11,644552;600
1;600601;GIOVANNI XXIII;via GIOVANNI XXIII 36;FERRARA;708510;968970;44,841904;11,637234;600
1;600620;CEDRI SAN CONTARDO D`ESTE;VIA DEI CEDRI 26;FERRARA;709100;968048;44,83344;11,644312;600
1;600935;STAZIONE;Piazzale della Stazione pensilina A;FERRARA;705881;968977;44,84273;11,604006;600
101;1005;ALBERTONI;VIA MAZZINI 49;BOLOGNA;687970;928980;44,487909;11,362908;500
101;1034;VILLAGGIO DUE MADONNE;VIA DOZZA FR 19/B;BOLOGNA;690586;927701;44,475719;11,395308;500
101;1503;CICOGNA FONDAZIONE CIRULL;VIA EMILIA 282;SAN LAZZARO DI SAVENA;693102;926448;44,463781;11,426448;501
101;1506;SAN LAZZARO CIMITERO;VIA EMILIA FR 294;SAN LAZZARO DI SAVENA;693398;926312;44,462479;11,430115;501
101;10002;IDICE;VIA EMILIA FR 344;SAN LAZZARO DI SAVENA;693917;926056;44,460037;11,436538;501
101;10005;IDICE TRE PONTI;VIA EMILIA 452;IDICE;694575;925683;44,456506;11,444661;501
101;10018;OLMATELLO;VIA EMILIA 25;OZZANO DELL`EMILIA;696377;924850;44,448526;11,466975;511
101;10021;OZZANO;VIA EMILIA 210;OZZANO DELL`EMILIA;697072;924492;44,445117;11,475566;511
101;10034;CASETTI BONI;VIA EMILIA FR 442;OZZANO DELL`EMILIA;698746;923687;44,437419;11,496275;511
101;10037;MAGGIO;VIA EMILIA 470;OZZANO DELL`EMILIA;699182;923460;44,435258;11,501661;512
101;10050;BARCHETTA;VIA EMILIA PONENTE KM 95+210;OSTERIA GRANDE;701063;922541;44,426472;11,524917;512
101;10053;SAN NICOLO` DI VARIGNANA;VIA EMILIA PONENTE 5135;CASTEL SAN PIETRO TERME;701492;922320;44,424365;11,530215;512
101;10066;ERCOLANA;VIA EMILIA PONENTE FR CONVENTINO;CASTEL SAN PIETRO TERME;703581;921309;44,414688;11,556036;513
101;10069;MAGIONE;VIA EMILIA PONENTE BV LIANO;MAGIONE;704637;920763;44,40948;11,569072;513
101;10076;CASTEL S.PIETRO MARTIRI P;PIAZZA MARTIRI PARTIGIANI 11;CASTEL SAN PIETRO TERME;706356;919720;44,399612;11,590226;513
101;10082;COZZO;VIA EMILIA LEVANTE FR 1420;CASTEL SAN PIETRO TERME;708079;919068;44,393256;11,611579;513
